📅 [2020.06.12] | SMA:  0.11 | BB: -0.90 | RSI:  0.00 | VOL:  0.19 | TOTAL: -0.61
☠️ [데드크로스] slope: -0.01814 | score: -0.73
📅 [2020.06.15] | SMA: -0.73 | BB:  0.10 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.37
📅 [2020.06.16] | SMA: -0.12 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.78
📅 [2020.06.17] | SMA: -0.41 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL: -0.31
📅 [2020.06.18] | SMA: -0.15 | BB:  0.42 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.28
👑 [골든크로스] slope: 0.01035 | score: 0.63
📅 [2020.06.19] | SMA:  0.63 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.53
📅 [2020.06.22] | SMA:  0.24 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.14
📅 [2020.06.23] | SMA:  0.24 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.14
📅 [2020.06.24] | SMA:  0.55 | BB:  0.64 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.20
📅 [2020.06.25] | SMA:  0.63 | BB:  0.67 | RSI:  0.00 | VOL:  0.66 | TOTAL:  1.96
📅 [2020.06.26] | SMA:  0.59 | BB:  0.37 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.96
📅 [2020.06.29] | SMA:  0.49 | BB:  0.75 | RSI:  0.00 | VOL: -0.74 | TOTAL:  0.50
📅 [2020.06.30] | SMA:  0.44 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.34
📅 [2020.07.01] | SMA:  0.51 | BB:  0.90 | RSI:  0.00 | VOL:  0.85 | TOTAL:  2.25
📅 [2020.07.02] | SMA:  0.58 | BB:  0.90 | RSI:  0.00 | VOL: -0.76 | TOTAL:  0.72
📅 [2020.07.06] | SMA:  0.79 | BB:  0.90 | RSI:  0.00 | VOL: -0.94 | TOTAL:  0.74
📅 [2020.07.07] | SMA:  0.93 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.83
📅 [2020.07.08] | SMA:  1.02 | BB:  0.90 | RSI: -2.00 | VOL: -1.00 | TOTAL: -1.08
📅 [2020.07.09] | SMA:  1.16 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL:  0.06
📅 [2020.07.10] | SMA:  1.14 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL:  0.04
📅 [2020.07.13] | SMA:  1.04 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.94
📅 [2020.07.14] | SMA:  1.04 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.94
📅 [2020.07.15] | SMA:  1.00 | BB:  0.79 | RSI: -1.00 | VOL: -1.00 | TOTAL: -0.21
📅 [2020.07.16] | SMA:  0.69 | BB:  0.23 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.07
📅 [2020.07.17] | SMA:  0.39 | BB: -0.56 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.16
📅 [2020.07.20] | SMA:  0.20 | BB: -0.21 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.01
📅 [2020.07.21] | SMA:  0.02 | BB:  0.19 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.79
☠️ [데드크로스] slope: -0.01946 | score: -0.75
📅 [2020.07.22] | SMA: -0.75 | BB:  0.23 | RSI:  0.00 | VOL: -0.47 | TOTAL: -0.99
📅 [2020.07.23] | SMA: -0.13 | BB: -0.06 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.19
📅 [2020.07.24] | SMA: -0.08 | BB: -0.24 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.33
📅 [2020.07.27] | SMA: -0.13 | BB: -0.71 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.84
📅 [2020.07.28] | SMA: -0.22 | BB: -0.81 | RSI:  0.00 | VOL: -0.31 | TOTAL: -1.34
📅 [2020.07.29] | SMA: -0.27 | BB: -0.44 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.71
📅 [2020.07.30] | SMA: -0.33 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -2.23
📅 [2020.07.31] | SMA: -0.34 | BB: -0.73 | RSI:  0.00 | VOL: -1.00 | TOTAL: -2.08
📅 [2020.08.03] | SMA: -0.26 | BB: -0.03 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.29
📅 [2020.08.04] | SMA: -0.18 | BB:  0.00 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.18
📅 [2020.08.05] | SMA: -0.18 | BB: -0.58 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.77
📅 [2020.08.06] | SMA: -0.12 | BB: -0.81 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.93
📅 [2020.08.07] | SMA: -0.09 | BB: -0.83 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.92
📅 [2020.08.10] | SMA: -0.16 | BB: -0.90 | RSI:  0.00 | VOL: -0.18 | TOTAL: -1.24
📅 [2020.08.11] | SMA: -0.27 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -1.17
📅 [2020.08.12] | SMA: -0.36 | BB: -0.90 | RSI:  1.00 | VOL: -0.73 | TOTAL: -0.99
📅 [2020.08.13] | SMA: -0.45 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -1.35
📅 [2020.08.14] | SMA: -0.55 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -2.45
📅 [2020.08.17] | SMA: -0.62 | BB: -0.90 | RSI:  0.00 | VOL:  0.33 | TOTAL: -1.19
📅 [2020.08.18] | SMA: -0.49 | BB:  0.02 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.53
📅 [2020.08.19] | SMA: -0.26 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.64
📅 [2020.08.20] | SMA: -0.11 | BB:  0.15 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.04
👑 [골든크로스] slope: 0.01910 | score: 0.74
📅 [2020.08.21] | SMA:  0.74 | BB:  0.09 | RSI:  0.00 | VOL: -0.23 | TOTAL:  0.60
📅 [2020.08.24] | SMA:  0.24 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.14
📅 [2020.08.25] | SMA:  0.32 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.22
📅 [2020.08.26] | SMA:  0.42 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.32
📅 [2020.08.27] | SMA:  0.58 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.48
📅 [2020.08.28] | SMA:  0.82 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.72
📅 [2020.08.31] | SMA:  0.93 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.83
📅 [2020.09.01] | SMA:  1.06 | BB:  0.90 | RSI: -1.00 | VOL: -0.43 | TOTAL:  0.52
📅 [2020.09.02] | SMA:  1.13 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  2.03
📅 [2020.09.03] | SMA:  1.07 | BB:  0.71 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.78
📅 [2020.09.04] | SMA:  0.81 | BB: -0.13 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.68
📅 [2020.09.08] | SMA:  0.58 | BB: -0.39 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.19
📅 [2020.09.09] | SMA:  0.42 | BB:  0.53 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.95
📅 [2020.09.10] | SMA:  0.13 | BB:  0.70 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.83
📅 [2020.09.11] | SMA:  0.04 | BB:  0.42 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.45
📅 [2020.09.14] | SMA:  0.31 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.21
📅 [2020.09.15] | SMA:  0.74 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.64
📅 [2020.09.16] | SMA:  0.98 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  2.88
📅 [2020.09.17] | SMA:  1.19 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  3.09
📅 [2020.09.18] | SMA:  1.36 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  3.26
📅 [2020.09.21] | SMA:  1.35 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  3.25
📅 [2020.09.22] | SMA:  1.18 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  1.08
📅 [2020.09.23] | SMA:  0.94 | BB:  0.32 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.26
📅 [2020.09.24] | SMA:  0.79 | BB:  0.45 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.24
📅 [2020.09.25] | SMA:  0.72 | BB:  0.64 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.37
📅 [2020.09.28] | SMA:  0.54 | BB:  0.48 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.02
📅 [2020.09.29] | SMA:  0.35 | BB:  0.37 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.28
