☠️ [데드크로스] SLOPE: -0.02472 | Scaled: -9.89 | SMA Score: -1.60
📅 [2022.09.20] | SMA: -1.60 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -5.10
📅 [2022.09.21] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.90
📅 [2022.09.22] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.90
📅 [2022.09.23] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.90
📅 [2022.09.26] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.90
📅 [2022.09.27] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL: -1.00 | TOTAL:  0.10
📅 [2022.09.28] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL: -1.00 | TOTAL:  0.10
📅 [2022.09.29] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL: -1.00 | TOTAL:  0.10
📅 [2022.09.30] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL: -1.00 | TOTAL:  0.10
📅 [2022.10.03] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL: -1.00 | TOTAL:  0.10
📅 [2022.10.04] | SMA:  0.00 | BB: -0.43 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.43
📅 [2022.10.05] | SMA:  0.00 | BB: -0.21 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.21
📅 [2022.10.06] | SMA:  0.00 | BB: -0.38 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.38
📅 [2022.10.07] | SMA:  0.00 | BB: -0.69 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.69
📅 [2022.10.10] | SMA:  0.00 | BB: -0.80 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.80
📅 [2022.10.11] | SMA:  0.00 | BB: -0.75 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.75
📅 [2022.10.12] | SMA:  0.00 | BB: -0.27 | RSI:  0.00 | VOL: -0.27 | TOTAL: -0.55
📅 [2022.10.13] | SMA:  0.00 | BB:  0.32 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.32
📅 [2022.10.14] | SMA:  0.00 | BB:  0.07 | RSI:  0.00 | VOL: -0.40 | TOTAL: -0.33
📅 [2022.10.17] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2022.10.18] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.10.19] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2022.10.20] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2022.10.21] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2022.10.24] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2022.10.25] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -0.31 | TOTAL:  0.59
📅 [2022.10.26] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL:  1.00 | TOTAL:  0.90
📅 [2022.10.27] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL: -1.00 | TOTAL: -2.10
📅 [2022.10.28] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL: -0.67 | TOTAL: -1.77
