📅 [2020.09.03] | SMA:  0.00 | BB:  0.71 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.71
📅 [2020.09.04] | SMA:  0.00 | BB: -0.13 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.87
📅 [2020.09.08] | SMA:  0.00 | BB: -0.39 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.61
📅 [2020.09.09] | SMA:  0.00 | BB:  0.53 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.53
📅 [2020.09.10] | SMA:  0.00 | BB:  0.70 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.70
📅 [2020.09.11] | SMA:  0.00 | BB:  0.42 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.42
📅 [2020.09.14] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.09.15] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.09.16] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.09.17] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.09.18] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.09.21] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.09.22] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.09.23] | SMA:  0.00 | BB:  0.32 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.68
📅 [2020.09.24] | SMA:  0.00 | BB:  0.45 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.55
📅 [2020.09.25] | SMA:  0.00 | BB:  0.64 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.36
📅 [2020.09.28] | SMA:  0.00 | BB:  0.48 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.52
📅 [2020.09.29] | SMA:  0.00 | BB:  0.37 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.63
📅 [2020.09.30] | SMA:  0.00 | BB:  0.44 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.56
📅 [2020.10.01] | SMA:  0.00 | BB:  0.41 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.59
📅 [2020.10.02] | SMA:  0.00 | BB: -0.09 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.09
📅 [2020.10.05] | SMA:  0.00 | BB:  0.23 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.77
📅 [2020.10.06] | SMA:  0.00 | BB:  0.09 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.91
📅 [2020.10.07] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.10.08] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.10.09] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.10.12] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.10.13] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.10.14] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.10.15] | SMA:  0.00 | BB:  0.58 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.42
📅 [2020.10.16] | SMA:  0.00 | BB:  0.31 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.69
📅 [2020.10.19] | SMA:  0.00 | BB: -0.33 | RSI:  0.00 | VOL: -0.42 | TOTAL: -0.75
📅 [2020.10.20] | SMA:  0.00 | BB: -0.17 | RSI:  0.00 | VOL:  0.91 | TOTAL:  0.74
📅 [2020.10.21] | SMA:  0.00 | BB: -0.32 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.68
📅 [2020.10.22] | SMA:  0.00 | BB: -0.34 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.66
📅 [2020.10.23] | SMA:  0.00 | BB: -0.12 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.88
📅 [2020.10.26] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2020.10.27] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2020.10.28] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL:  1.00 | TOTAL:  2.10
📅 [2020.10.29] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL:  1.00 | TOTAL:  2.10
📅 [2020.10.30] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL:  1.00 | TOTAL:  2.10
📅 [2020.11.02] | SMA:  0.00 | BB: -0.90 | RSI:  2.00 | VOL:  1.00 | TOTAL:  2.10
📅 [2020.11.03] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.90
📅 [2020.11.04] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2020.11.05] | SMA:  0.00 | BB: -0.86 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.86
📅 [2020.11.06] | SMA:  0.00 | BB: -0.73 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.73
📅 [2020.11.09] | SMA:  0.00 | BB: -0.64 | RSI:  1.00 | VOL:  1.00 | TOTAL:  1.36
☠️ [데드크로스] SLOPE: -0.01487 | Scaled: -5.95 | SMA Score: -1.60
📅 [2020.11.10] | SMA: -1.60 | BB: -0.65 | RSI:  1.00 | VOL: -1.00 | TOTAL: -3.85
📅 [2020.11.11] | SMA:  0.00 | BB: -0.31 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.31
